"ISOLAB IDENTITY","Delta_N","%N corr.","Delta_C","%C corr.","date","Cut","Material","quadrant (Q)","sample"
88,-0.448714286,2.931526765,-29.185,44.72741427,2022-08-08,8,"mix",NA,2
91,-0.163714286,2.811933911,-27.83,44.15627478,2022-08-08,8,"mix",NA,3
94,-0.571714286,2.900324196,-27.333,44.47406863,2022-08-08,8,"mix",NA,4
97,-0.341714286,3.504762649,-28.159,44.38700583,2022-09-19,9,"mix",NA,1
100,-0.029714286,3.844063101,-28.117,45.01879487,2022-09-19,9,"mix",NA,2
103,-0.455714286,3.465102445,-28.581,44.7568848,2022-09-19,9,"mix",NA,3
106,-0.257714286,3.591205577,-28.721,44.17780604,2022-09-19,9,"mix",NA,4
157,4.4815,2.189097205,-30.34583333,43.20160291,2023-05-19,NA,"aboveground biomass",1,1
158,4.0975,1.792611264,-30.02583333,43.24458293,2023-05-19,NA,"aboveground biomass",1,2
159,3.4185,1.678500329,-30.48983333,43.66348887,2023-05-19,NA,"aboveground biomass",1,3
160,3.5125,1.436266132,-30.21183333,43.24617697,2023-05-19,NA,"aboveground biomass",2,1
161,3.7295,1.611762078,-30.63783333,43.57561502,2023-05-19,NA,"aboveground biomass",2,2
162,4.7305,1.576349965,-30.22183333,43.10094427,2023-05-19,NA,"aboveground biomass",2,3
163,3.6825,1.68975027,-30.32483333,43.43813141,2023-05-19,NA,"aboveground biomass",3,1
164,5.1615,1.489764523,-30.29683333,43.68108345,2023-05-19,NA,"aboveground biomass",3,2
165,3.7295,1.729381262,-30.17283333,43.16044607,2023-05-19,NA,"aboveground biomass",3,3
166,2.9695,1.557885161,-30.24783333,43.50065617,2023-05-19,NA,"aboveground biomass",4,1
167,4.4165,1.691776658,-30.78583333,43.37475392,2023-05-19,NA,"aboveground biomass",4,2
168,2.7835,1.556220341,-30.52883333,43.47006639,2023-05-19,NA,"aboveground biomass",4,3
169,4.0515,1.21106003,-27.87483333,44.65646134,2023-06-28,NA,"aboveground biomass",1,1
170,2.8055,1.156734989,-28.44083333,44.28283985,2023-06-28,NA,"aboveground biomass",1,2
171,3.3595,1.131153746,-29.26383333,44.32180629,2023-06-28,NA,"aboveground biomass",1,3
172,3.5655,1.170483683,-27.93983333,44.47109354,2023-06-28,NA,"aboveground biomass",2,1
173,3.9195,0.97964947,-28.80083333,44.33998392,2023-06-28,NA,"aboveground biomass",2,2
174,2.4805,1.10376364,-28.83483333,44.50530519,2023-06-28,NA,"aboveground biomass",2,3
175,2.9945,1.015635506,-27.94883333,44.2922329,2023-06-28,NA,"aboveground biomass",3,1
176,3.0585,0.936044426,-28.95983333,43.8522941,2023-06-28,NA,"aboveground biomass",3,2
177,2.4792,1.046119743,-28.6036,43.93444703,2023-06-28,NA,"aboveground biomass",3,3
178,2.6902,1.034900835,-27.9956,44.2795715,2023-06-28,NA,"aboveground biomass",4,1
179,2.3412,0.992688763,-28.1116,44.08413313,2023-06-28,NA,"aboveground biomass",4,2
180,4.5562,0.892345154,-28.3856,44.26265699,2023-06-28,NA,"aboveground biomass",4,3
181,6.3332,1.456756655,-27.4246,43.69764236,2023-07-11,NA,"aboveground biomass",1,1
182,2.0672,1.053153287,-28.7026,43.88490611,2023-07-11,NA,"aboveground biomass",1,2
183,3.5932,0.915496461,-28.5946,44.03552795,2023-07-11,NA,"aboveground biomass",1,3
184,4.2012,1.042266087,-28.2366,43.8510634,2023-07-11,NA,"aboveground biomass",2,1
185,2.4712,1.123318217,-28.6836,43.48709661,2023-07-11,NA,"aboveground biomass",2,2
186,3.1122,0.670056277,-29.0586,43.987612,2023-07-11,NA,"aboveground biomass",2,3
187,3.5552,1.093963672,-27.9666,43.02937337,2023-07-11,NA,"aboveground biomass",3,1
188,2.0512,1.030426151,-28.8386,43.17693705,2023-07-11,NA,"aboveground biomass",3,2
189,2.6102,1.108892719,-28.7226,43.20835849,2023-07-11,NA,"aboveground biomass",3,3
190,4.0002,1.143659007,-27.8796,43.32908553,2023-07-11,NA,"aboveground biomass",4,1
191,2.2302,1.026850866,-28.3856,43.29697546,2023-07-11,NA,"aboveground biomass",4,2
192,4.8462,0.743911129,-29.0786,43.17075963,2023-07-11,NA,"aboveground biomass",4,3
193,2.7082,0.538958935,-29.5356,23.00344037,2023-07-17,NA,"residues",1,1
194,3.3492,0.503825319,-29.8516,39.30875376,2023-07-17,NA,"residues",1,2
195,2.9332,0.468189523,-29.7316,42.73828909,2023-07-17,NA,"residues",1,3
196,2.2752,0.492685979,-29.4506,42.71739512,2023-07-17,NA,"residues",2,1
197,2.3422,0.470897816,-29.7726,43.64090775,2023-07-17,NA,"residues",2,2
198,2.2012,0.476957806,-29.5576,41.73498985,2023-07-17,NA,"residues",2,3
199,4.3562,0.661854834,-29.5006,42.50939822,2023-07-17,NA,"residues",3,1
200,NA,NA,NA,NA,2023-07-17,NA,"residues",3,2
201,NA,NA,NA,NA,2023-07-17,NA,"residues",3,3
202,NA,NA,NA,NA,2023-07-17,NA,"residues",4,1
203,NA,NA,NA,NA,2023-07-17,NA,"residues",4,2
204,NA,NA,NA,NA,2023-07-17,NA,"residues",4,3
205,NA,NA,NA,NA,2023-07-17,NA,"stubbles",1,1
206,NA,NA,NA,NA,2023-07-17,NA,"stubbles",1,2
207,NA,NA,NA,NA,2023-07-17,NA,"stubbles",1,3
208,NA,NA,NA,NA,2023-07-17,NA,"stubbles",2,1
209,NA,NA,NA,NA,2023-07-17,NA,"stubbles",2,2
210,NA,NA,NA,NA,2023-07-17,NA,"stubbles",2,3
211,NA,NA,NA,NA,2023-07-17,NA,"stubbles",3,1
212,NA,NA,NA,NA,2023-07-17,NA,"stubbles",3,2
213,NA,NA,NA,NA,2023-07-17,NA,"stubbles",3,3
214,NA,NA,NA,NA,2023-07-17,NA,"stubbles",4,1
215,NA,NA,NA,NA,2023-07-17,NA,"stubbles",4,2
216,NA,NA,NA,NA,2023-07-17,NA,"stubbles",4,3
217,NA,NA,NA,NA,2023-07-15,NA,"grains_harvest",NA,NA
218,NA,NA,NA,NA,2022-10-06,NA,"seeds_sowing",NA,NA
219,NA,NA,NA,NA,2023-02-27,NA,"mineral_N_fertilizer",NA,NA
220,NA,NA,NA,NA,2020-08-19,NA,"seeds_sowing",NA,NA
221,NA,NA,NA,NA,2018-07-12,NA,"grains_harvest",NA,NA
