"date","dry-tara","%N corr.","quadrant (Q)","sample","Nitrogen_uptake_gperm2","Nitrogen_uptake_kgperha"
2023-09-05,9.43,NA,4,3,NA,NA
2020-10-19,5.03,3.941609445,NA,1,1.982629550835,19.82629550835
2020-10-19,3.39,3.670449554,NA,2,1.244282398806,12.44282398806
2020-10-19,4.45,3.588296265,NA,3,1.596791837925,15.96791837925
2020-10-19,7.73,3.489278576,NA,4,2.697212339248,26.97212339248
2021-05-26,54.79,1.809189355,NA,1,9.912548476045,99.12548476045
2021-05-26,65.73,1.70490003,NA,2,11.20630789719,112.0630789719
2021-05-26,59.17,1.697008779,NA,3,10.041200945343,100.41200945343
2021-05-26,86.45,1.516487946,NA,4,13.11003829317,131.1003829317
2021-07-20,44.77,1.97113664,NA,1,8.82477873728,88.2477873728
2021-07-20,61.13,1.429657725,NA,2,8.739497672925,87.39497672925
2021-07-20,67.5,2.374616161,NA,3,16.02865908675,160.2865908675
2021-07-20,42.83,2.020912187,NA,4,8.655566896921,86.55566896921
2021-09-02,35.17,2.674552979,NA,1,9.406402827143,94.06402827143
2021-09-02,28.85,2.050740355,NA,2,5.916385924175,59.16385924175
2021-09-02,36.48,2.470716539,NA,3,9.013173934272,90.13173934272
2021-09-02,33.97,2.83886026,NA,4,9.64360830322,96.4360830322
2021-10-19,19.54,2.717211804,NA,1,5.309431865016,53.09431865016
2021-10-19,27.43,3.284791111,NA,2,9.010182017473,90.10182017473
2021-10-19,21,3.420516093,NA,3,7.1830837953,71.830837953
2021-10-19,34.52,3.789830814,NA,4,13.082495969928,130.82495969928
2022-05-10,46.8,2.341216459,NA,1,10.95689302812,109.5689302812
2022-05-10,45.8,2.045856338,NA,2,9.37002202804,93.7002202804
2022-05-10,54.92,2.518382034,NA,3,13.830954130728,138.30954130728
2022-05-10,31.5,2.877269247,NA,4,9.06339812805,90.6339812805
2022-06-27,20.54,2.829308275,NA,1,5.81139919685,58.1139919685
2022-06-27,39.03,3.067423506,NA,2,11.972153943918,119.72153943918
2022-06-27,47.76,2.764618869,NA,3,13.203819718344,132.03819718344
2022-06-27,26.69,2.081886719,NA,4,5.556555653011,55.56555653011
2022-07-13,7.63,NA,NA,1,NA,NA
2022-07-13,10.38,NA,NA,2,NA,NA
2022-08-08,42.63,2.842066798,NA,1,12.115730759874,121.15730759874
2022-08-08,13.09,2.931526765,NA,2,3.837368535385,38.37368535385
2022-08-08,10.82,2.811933911,NA,3,3.042512491702,30.42512491702
2022-08-08,27.26,2.900324196,NA,4,7.906283758296,79.06283758296
2022-09-19,11.67,3.504762649,NA,1,4.090058011383,40.90058011383
2022-09-19,12.87,3.844063101,NA,2,4.947309210987,49.47309210987
2022-09-19,9.39,3.465102445,NA,3,3.253731195855,32.53731195855
2022-09-19,10.56,3.591205577,NA,4,3.792313089312,37.92313089312
2023-07-17,42.36,0.538958935,1,1,2.28303004866,22.8303004866
2023-07-17,12.83,0.503825319,1,2,0.646407884277,6.46407884277
2023-07-17,8.15,0.468189523,1,3,0.381574461245,3.81574461245
2023-07-17,7.39,0.492685979,2,1,0.364094938481,3.64094938481
2023-07-17,4.95,0.470897816,2,2,0.23309441892,2.3309441892
2023-07-17,9.82,0.476957806,2,3,0.468372565492,4.68372565492
2023-07-17,9.95,0.661854834,3,1,0.65854555983,6.5854555983
2023-07-17,10.57,NA,3,2,NA,NA
2023-07-17,4.63,NA,3,3,NA,NA
2023-07-17,14.35,NA,4,1,NA,NA
2023-07-17,7.08,NA,4,2,NA,NA
2023-07-17,5.52,NA,4,3,NA,NA
2023-07-17,14.35,NA,1,1,NA,NA
2023-07-17,15.76,NA,1,2,NA,NA
2023-07-17,16.01,NA,1,3,NA,NA
2023-07-17,13.76,NA,2,1,NA,NA
2023-07-17,19.24,NA,2,2,NA,NA
2023-07-17,18.02,NA,2,3,NA,NA
2023-07-17,12.22,NA,3,1,NA,NA
2023-07-17,18.05,NA,3,2,NA,NA
2023-07-17,1.56,NA,3,3,NA,NA
2023-07-17,11.59,NA,4,1,NA,NA
2023-07-17,16.39,NA,4,2,NA,NA
2023-07-17,16.05,NA,4,3,NA,NA
2023-07-15,NA,NA,NA,NA,NA,NA
2022-10-06,NA,NA,NA,NA,NA,NA
2023-02-27,NA,NA,NA,NA,NA,NA
2020-08-19,NA,NA,NA,NA,NA,NA
2018-07-12,NA,NA,NA,NA,NA,NA
